Course ID,Subject,Instructor ID,Start_1,Srt1 AM/PM,End 1,End 1 AMPM,Dec End Time,Days 1,Facil ID 1
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
557,RELG,187,10:00:00 AM,10:00 AM,12:30:00 PM,12:30 PM,12.5,M,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
704,WRPR,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
746,ENGL,218,7:30:00 PM, 7:30 PM,10:00:00 PM,10:00 PM,22,T,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
704,ENGL,110,1:00:00 PM, 1:00 PM,2:30:00 PM, 2:30 PM,14.5,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
483,ENGL,218,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,M W,WDS
714,ENGL,67,2:30:00 PM, 2:30 PM,4:00:00 PM, 4:00 PM,16,T H,WDS
163,ENGL,82,11:30:00 AM,11:30 AM,1:00:00 PM, 1:00 PM,13,T H,WDS
433,ENGL,61,1:30:00 PM, 1:30 PM,4:00:00 PM, 4:00 PM,16,F,WDS
