Course ID,Subject,Facil ID 1
659,EDUC,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
115,RELG,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
115,RELG,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
115,RELG,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
606,EDUC,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
115,RELG,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
68,EDUC,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
606,EDUC,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
68,EDUC,CHS101
115,RELG,CHS101
115,ANTH,CHS101
115,RELG,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
115,RELG,CHS101
659,EDUC,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
68,EDUC,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
115,RELG,CHS101
659,EDUC,CHS101
585,ANTH,CHS101
606,EDUC,CHS101
68,EDUC,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
659,EDUC,CHS101
606,EDUC,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
68,EDUC,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
606,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
659,EDUC,CHS101
115,ANTH,CHS101
606,EDUC,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
115,RELG,CHS101
606,EDUC,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
115,RELG,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
115,RELG,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
606,EDUC,CHS101
585,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
606,EDUC,CHS101
585,ANTH,CHS101
606,EDUC,CHS101
115,ANTH,CHS101
659,EDUC,CHS101
659,EDUC,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
115,RELG,CHS101
115,RELG,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
585,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
487,ANTH,CHS101
115,ANTH,CHS101
115,ANTH,CHS101
585,ANTH,CHS101
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
15,ECON,CHS104
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,RELG,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,RELG,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
466,RELG,CHSAUD
466,RELG,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,RELG,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
7,PHYS,CHSAUD
466,RELG,CHSAUD
7,PHYS,CHSAUD
466,HIST,CHSAUD
7,PHYS,CHSAUD
