Class Times	58
1	11:30 AM  1:00 PM T H
2	10:00 AM 11:30 AM T H
3	 2:30 PM  4:00 PM M W
4	 9:30 AM 10:30 AM M W F
5	 2:30 PM  4:00 PM T H
6	 1:00 PM  4:00 PM F
7	 1:00 PM  4:00 PM W
8	10:30 AM 11:30 AM M W F
9	 1:00 PM  2:30 PM M W
10	11:30 AM  1:00 PM M W
11	11:30 AM 12:30 PM M W F
12	 8:30 AM 10:00 AM T H
13	 1:15 PM  4:00 PM F
14	 7:30 PM 10:00 PM M
15	 8:30 AM  9:30 AM M T W H F
16	 8:30 AM  9:30 AM M W F
17	 1:00 PM  4:00 PM M
18	 1:30 PM  2:30 PM M W F
19	 1:00 PM  4:00 PM T
20	 1:00 PM  2:30 PM T H
21	 4:30 PM  5:45 PM M T H
22	 1:00 PM  4:00 PM H
23	 7:30 PM 10:00 PM T
24	 1:15 PM  4:00 PM T
25	 9:00 AM 12:00 PM T
26	 1:30 PM  4:00 PM T
27	 1:30 PM  4:00 PM W
28	 6:50 PM  8:50 PM W
29	 1:15 PM  4:00 PM W
30	 1:00 PM  2:00 PM M
31	 1:00 PM  4:00 PM T H
32	11:30 AM 12:30 PM T H
33	 2:30 PM  4:00 PM H
34	11:30 AM  1:00 PM W F
35	 1:00 PM  4:00 PM W F
36	 1:30 PM  4:00 PM F
37	 7:00 PM  9:30 PM M
38	 3:00 PM  4:00 PM F
39	 1:30 PM  4:00 PM M
40	 7:00 PM  8:00 PM H
41	 1:00 PM  2:00 PM W
42	10:00 AM 11:00 AM T H
43	 7:00 PM  8:00 PM T
44	 2:30 PM  3:30 PM M W
45	11:30 AM  1:00 PM M
46	 9:00 AM 12:00 PM M
47	 1:30 PM  4:00 PM H
48	 6:00 PM  7:00 PM W
49	10:00 AM 12:30 PM M
50	 2:30 PM  4:00 PM M
51	 1:00 PM  2:30 PM T
52	11:30 AM  1:00 PM W
53	 2:30 PM  3:30 PM M W F
54	 2:30 PM  4:30 PM T H
55	 2:30 PM  4:00 PM W F
56	10:00 AM 11:30 AM M W
57	 7:00 PM  9:30 PM H
58	 1:00 PM  2:00 PM F
Rooms	47
HLS11	18
SHA213	2
MARSHAUD	9
SHA217	29
ESTW309	45
HLL106	16
SHA412	23
SHA410	74
STO102	7
STO207	16
CHS101	32
ESTW307	51
MAGILLMR	10
ROB7	5
HLS108	47
HLS109	46
UN114	13
GST101	27
STO14	19
GST103	11
HLS105	47
LNKL205	13
HLL112	16
STO18	12
STO16	26
TAYD	4
HLL6	27
STO10	28
CHSAUD	35
SHAAUD	86
STOAUD	91
OBS	21
HLL107	30
STO119	17
GIACSWAN	12
HLL7	31
STO301	12
CHS104	26
MAGILLHVID	9
IRADEAREID	9
UN111	4
WDS	26
LNKL309	13
HLL201	14
ESTW115	12
GST102	14
HLS204	18
Classes	260
Teachers	162
217	146
214	241
213	282
565	273
665	323
664	196
662	248
133	27
132	320
136	132
134	160
495	29
127	127
492	101
692	330
1	239
26	113
268	54
21	72
22	122
223	170
28	145
29	215
344	248
406	317
347	19
546	227
4	151
401	14
545	228
548	107
549	77
408	21
522	199
454	290
718	202
717	182
675	76
714	67
121	41
123	170
124	297
24	23
128	87
129	118
669	224
457	46
736	311
59	196
58	157
283	71
53	36
52	304
536	118
535	174
533	320
532	245
412	27
370	318
295	145
292	316
374	168
377	323
590	39
319	238
318	269
199	239
709	56
596	30
313	188
312	237
311	241
707	196
144	165
315	232
192	26
115	97
68	180
89	159
111	153
396	330
395	241
277	272
194	292
399	293
81	174
118	110
84	143
12	68
580	1
378	207
605	196
416	169
612	205
3	99
7	178
365	192
528	282
363	189
360	124
411	56
308	304
309	300
585	97
516	194
581	254
443	90
442	300
302	192
440	171
305	67
445	88
444	75
244	320
108	105
27	151
240	329
386	201
297	38
388	15
149	292
106	188
39	317
33	212
375	185
36	17
641	196
290	153
438	323
439	61
436	297
437	132
432	54
514	292
385	245
458	276
459	7
620	71
627	112
573	296
572	267
629	104
336	28
577	196
576	68
333	325
574	85
60	127
102	90
62	87
63	31
177	17
69	62
175	166
251	230
253	146
172	257
554	19
407	239
746	218
543	239
249	133
482	294
731	228
704	318
180	48
181	18
734	112
737	119
651	296
188	39
502	259
197	11
500	137
341	257
610	179
631	225
632	134
310	199
184	76
560	54
466	266
460	71
462	238
98	4
228	237
91	43
165	105
93	248
224	18
160	2
222	195
163	82
282	122
15	22
17	108
19	160
110	62
720	95
659	180
729	
740	159
741	196
606	180
276	186
603	85
747	166
158	71
557	187
553	85
238	232
239	133
235	195
236	74
679	282
79	14
45	179
322	
323	44
321	276
5	251
327	98
324	189
325	48
9	281
476	254
328	212
352	182
147	73
618	4
202	167
204	54
140	311
209	230
613	202
563	261
611	251
615	134
72	21
489	43
684	261
487	78
655	50
484	30
483	218
478	33
481	259
479	329
732	68
547	8
433	61
355	83
689	36
477	233
474	189
350	88
267	116
687	43
686	77
359	137
