Course ID	Subject
692	SPAN
111	PEAC
108	HIST
445	POLS
359	CHEM
714	ENGL
323	GERM
465	CMSC
209	POLS
192	BIOL
483	ENGL
221	POLS
203	ARTW
476	WRPR
549	PHIL
313	PSYC
98	SPAN
15	ECON
478	MATH
709	PHYS
590	PHYS
632	MATH
374	ITAL
353	PSYC
191	PSYC
659	EDUC
412	PSYC
106	PSYC
484	JNSE
460	SOCL
603	ARTS
718	ARTS
277	PHIL
295	POLS
563	MATH
743	ARTD
664	ARTS
7	PHYS
33	HIST
267	POLS
684	MATH
69	PSYC
204	PSYC
172	SPAN
319	MUSC
458	MUSC
502	ECON
370	ENGL
618	SPAN
615	STAT
466	RELG
202	CMSC
124	ASTR
282	PHYS
576	EAST
22	PHYS
113	ECON
686	PHIL
337	MATH
72	POLS
71	PSYC
258	PSYC
220	HART
330	HART
396	SPAN
689	ARTS
574	ARTS
180	GREK
325	LATN
21	LING
91	ICPR
514	LING
737	CHEM
284	MATH
63	PSYC
651	BIOL
597	CITY
121	WRPR
199	HIST
309	HIST
350	POLS
652	CNSE
4	CSTS
399	MATH
682	ANTH
252	ANTH
687	ICPR
613	ARTS
249	MUSC
480	ENGL
341	SPAN
546	ECON
84	SPAN
512	ARTD
73	CNSE
671	CITY
518	CITY
701	CITY
129	ARTS
741	ARTS
577	ARTS
552	POLS
683	CHEM
675	FREN
385	MUSC
254	SPAN
171	HIST
717	RELG
222	POLS
720	CHEM
299	HIST
413	FREN
240	FREN
437	ANTH
541	FREN
137	BIOL
489	ICPR
627	ANTH
354	BIOL
152	BIOL
688	BIOL
315	POLS
328	HIST
525	SOWK
187	PSYC
524	MATH
481	ECON
450	ECON
747	ECON
308	ECON
532	MUSC
115	ANTH
363	PHIL
321	MUSC
585	ANTH
691	ECON
18	PHYS
57	PSYC
58	POLS
158	EAST
459	ARAB
592	ECON
213	CMSC
565	CMSC
528	CMSC
184	FREN
704	WRPR
425	POLS
322	PHYS
333	BIOL
740	CHEM
548	CHEM
262	SOCL
729	CHEM
393	SPAN
368	ENGL
694	ARTW
442	HIST
535	COML
174	GEOL
45	PSYC
160	ICPR
645	PHIL
29	ECON
193	PSYC
477	ECON
181	SPAN
486	GEOL
61	SOCL
449	ENGL
386	PEAC
388	ENVS
183	ECON
599	EAST
406	HIST
416	RELG
727	HIST
17	ANTH
588	HIST
403	HART
395	PHIL
39	HIST
516	MATH
5	STAT
454	ENGL
440	ENGL
360	ENGL
572	ENGL
163	ENGL
1	EAST
654	PSYC
144	ARTT
110	PSYC
472	ITAL
457	WRPR
479	FREN
331	PHIL
296	MATH
305	ENGL
235	POLS
344	PSYC
89	CHEM
547	CHEM
655	BIOL
500	CHEM
134	ENVS
668	ECON
40	ECON
580	RELG
408	POLS
283	SOCL
292	SOCL
620	SOCL
206	HART
397	HART
648	HART
95	POLS
59	ARTS
297	FREN
526	ARTW
608	ARTW
62	PSYC
610	PSYC
3	MUSC
238	POLS
289	PHIL
411	PHYS
24	ECON
730	SPAN
543	HIST
623	CITY
436	PHYS
346	PHIL
164	ARAB
611	MATH
392	ENGR
562	BIOL
279	PHYS
128	PSYC
560	PSYC
165	HIST
318	MUSC
438	RELG
669	CMSC
405	MATH
732	ICPR
157	SPAN
601	SPAN
495	SPAN
224	SPAN
731	FREN
268	PSYC
662	PSYC
443	HIST
553	ARTS
239	MUSC
130	ARTW
236	LATN
376	EDUC
676	EDUC
377	RELG
352	RELG
631	BIOL
28	POLS
589	BIOL
293	HART
641	ARTS
707	ARTS
536	ARTS
189	ENGL
719	HIST
426	HIST
625	CITY
355	WRPR
375	ARTS
327	RELG
274	PHIL
251	POLS
123	SOCL
311	PHIL
19	ANTH
455	HART
381	ENGL
207	ENGL
118	ENGL
600	ARTD
44	ARTD
557	RELG
140	ARTS
127	WRPR
304	BIOL
324	PHIL
36	RELG
746	ENGL
364	ECON
223	SOCL
343	GEOL
117	POLS
531	ANTH
56	ANTH
133	PSYC
60	WRPR
365	BIOL
573	BIOL
9	POLS
53	ICPR
487	ANTH
93	PSYC
310	BIOL
606	EDUC
11	PSYC
432	PSYC
185	CSTS
136	ANTH
27	ANTH
556	ITAL
734	ANTH
23	GNST
612	MATH
52	MATH
629	SOCL
725	CITY
264	RUSS
515	ENGL
147	ICPR
695	ENGL
635	ENGL
347	HIST
598	EDUC
482	GERM
378	MATH
712	CSTS
188	ASTR
120	GNST
79	JNSE
26	WRPR
132	CSTS
665	RELG
591	ARTD
166	SPAN
433	ENGL
85	ANTH
229	ANTH
739	ARTW
119	CSTS
217	CNSE
446	FREN
287	ARTD
177	RELG
738	CITY
228	PHIL
462	MUSC
637	ANTH
34	CITY
509	GERM
544	ENGL
722	FREN
522	BIOL
302	BIOL
679	MATH
520	HIST
636	CITY
248	PHIL
533	COML
122	ARCH
726	ARCH
595	ARCH
373	SPAN
153	PHIL
474	PHIL
581	WRPR
439	WRPR
690	RUSS
545	ENGL
470	POLS
70	ENGL
270	POLS
230	CSTS
493	RUSS
179	CMSC
492	POLS
540	ARTT
75	EAST
407	EAST
54	POLS
336	WRPR
391	MATH
197	PEAC
271	PSYC
176	PHIL
290	PHIL
402	MATH
49	HART
149	CNSE
175	ECON
68	EDUC
312	PHIL
194	LING
434	EDUC
644	MATH
401	JNSE
167	PSYC
320	HIST
657	CITY
88	ANTH
567	RUSS
208	RUSS
151	SOCL
504	SOWK
702	HIST
253	CNSE
708	ENGL
578	ARTT
538	ARTW
633	ARTT
507	ECON
728	ARCH
485	HIST
83	CITY
473	ENGL
530	SPAN
104	ENGL
571	CITY
400	ENGL
697	HART
265	COML
261	PHIL
195	SPAN
604	ECON
696	ARCH
680	CMSC
542	CMSC
554	HIST
233	COML
469	SOCL
25	RUSS
316	RUSS
285	HIST
303	HIST
306	RUSS
698	FREN
257	MATH
404	MATH
670	MATH
379	PHIL
82	COML
521	POLS
214	PHIL
475	GEOL
198	SOCL
159	SOCL
424	SOCL
444	MUSC
415	HIST
242	PHYS
672	FREN
348	POLS
508	HEBR
506	CITY
527	CITY
510	EAST
212	HIST
81	GERM
418	HART
716	POLS
517	HIST
102	HIST
607	ARTD
551	ARTD
420	COML
14	POLS
677	HIST
736	ARTS
490	CMSC
619	CHEM
661	ANTH
497	FREN
317	HART
334	GREK
564	CITY
244	GREK
276	MUSC
307	ITAL
706	ARTT
667	SOCL
326	HART
447	POLS
12	ARTS
218	ITAL
745	PHYS
642	CITY
135	ARTT
196	ARTD
