Course	Room	Teacher	Time	Students
194	MARSHAUD	261	1	
543	MARSHAUD	212	1	
165	MARSHAUD	196	1	135
36	MARSHAUD	190	1	890
482	MARSHAUD	122	1	186
53	MARSHAUD	178	1	154
102	MARSHAUD	33	1	794 568
17	MARSHAUD	27	1	681 1096
222	MARSHAUD	157	1	29
240	MARSHAUD	257	1	446 790
244	MARSHAUD	325	1	715 643
396	MARSHAUD	38	1	15 896
620	MAGILLHVID	261	2	74 631
629	MARSHAUD	83	1	334 822
68	MARSHAUD	188	1	796 607
734	MARSHAUD	285	1	172 329
136	MAGILLHVID	22	2	790 167 984
175	MARSHAUD	195	1	682 315 1169
197	MARSHAUD	21	1	812 1019 289
223	MARSHAUD	71	1	141 1071
283	MARSHAUD	168	1	242 603
324	IRADEAREID	261	3	135 976 221
438	MARSHAUD	317	1	101 95 1050
443	MAGILLHVID	165	2	298 680 896
533	MARSHAUD	54	1	1130 244 417
554	MARSHAUD	232	1	616 384 1172
580	MAGILLHVID	87	2	743 890 485
596	MAGILLHVID	212	2	748 922 1075
158	MARSHAUD	143	1	265 843
177	MARSHAUD	26	1	743 940 793
180	MARSHAUD	132	1	592 704 722
214	MAGILLHVID	134	2	711 452 1169 982
253	MARSHAUD		1	349 778 1151 1167
277	MAGILLHVID	54	2	1051 1071 426 303
3	MARSHAUD	88	1	407 416 385
401	MAGILLHVID	88	2	1122 326 415 636
406	MARSHAUD	68	1	94 785
483	MAGILLHVID	188	2	854 2 695 956
492	MAGILLHVID	317	2	275 641 788 967
502	MARSHAUD	119	1	1040 419 803 425
627	MARSHAUD	239	1	438 735 220
732	MAGILLHVID	127	2	97 171 1179 319
81	MAGILLHVID	68	2	557 926 1177 874
124	MARSHAUD	137	1	433 13 579 569
27	MARSHAUD	180	1	201 1163
292	IRADEAREID	330	3	242 74 603 646 720
378	IRADEAREID	137	3	187 833 577 256 426
474	MARSHAUD	44	1	705 545 1078
495	MARSHAUD	323	1	866 207 311 356
532	IRADEAREID	87	3	37 1099 772 849 1111
557	MAGILLHVID	133	2	437 132 936 986 822
79	MAGILLHVID	27	2	196 900 952 461 463
111	MARSHAUD	296	1	595 273 1075
132	MAGILLHVID		2	197 337 1147 732 465 755
134	MAGILLHVID	39	2	718 906 1018 1008 207 698
228	MAGILLHVID	282	2	349 392 627 253 983 639
290	IRADEAREID	97	3	711 294 1146 545 788 1097
325	MARSHAUD	227	1	836 380 166 807 486
39	MAGILLHVID	77	2	1139 659 549 838 359 568
408	MARSHAUD	56	1	494 74 163 150
477	MAGILLHVID	273	2	624 315 289 267 51 421
655	MARSHAUD	41	1	1144 913 522 247 1140 567
746	MAGILLHVID	296	2	857 186 655 1159 565 1180
89	MARSHAUD	36	1	645 1000 741 1059 183 71
9	MAGILLHVID	230	2	446 1053 1082 451 996 150
118	IRADEAREID	27	3	994 132 136 654 540 1096 878
123	IRADEAREID	88	3	907 334 129 835 1073 534 225
128	CHSAUD	88	4	1144 347 102 435 93 1176 666
251	IRADEAREID		3	342 526 333 941 547 936 560
312	IRADEAREID	68	3	553 881 328 318 1154 898 474
442	MAGILLHVID	178	2	346 910 688 582 924 384 221
545	MARSHAUD	8	1	916 857 684 628 264 701
581	MAGILLHVID	62	2	454 255 1157 767 536 777 722
612	MARSHAUD	82	1	1061 234 703 515 175 464 470
686	CHSAUD	189	4	902 16 659 1146 1154 1078 300
731	MARSHAUD	182	1	194 1098 128 835 892
147	SHA410	296	5	525 435 178 663 462 646 1068 634
199	CHSAUD	190	4	910 745 688 135 122 151 479
235	HLS109	261	6	348 435 744 494 79 1047 69 1036
395	SHA410	145	5	194 902 452 1148 320 417 1154 59
60	MARSHAUD	318	1	336 144 403 894
84	CHSAUD	261	4	1062 442 100 323 311 730 119 560
28	MAGILLHVID	163	2	595 903 657 865 935 358 677 117 1115
315	MARSHAUD	43	1	105 33 1009 546 993 574 733 210
437	IRADEAREID	67	3	30 641 437 550 791 832 368 1068 1163
440	CHSAUD	212	4	349 900 815 1056 976 173 1126 389 390
444	MARSHAUD	23	1	933 937 962 563 483
459	MARSHAUD	297	1	272 1051 920 216 41
52	CHSAUD	230	4	915 1061 553 552 703 175 577 256 464
572	IRADEAREID	22	3	1098 145 681 246 62 661 412 361 1021
590	MAGILLHVID	276	2	1175 592 1017 38 170 414 895 728 5
93	MARSHAUD	152	1	666 997 418 909 800 533 773 422 1068
181	MAGILLHVID	43	2	106 555 394 203 311 1174 730 282 269 53
309	MARSHAUD	15	1	346 591 443 143 139 21 456 391
336	IRADEAREID	188	3	1175 912 622 700 693 679 1093
352	CHSAUD	39	4	290 333 856 743 1071 266 986 112 485 955
377	IRADEAREID	50	3	291 1014 134 799 959 168 890 1072 112 751
484	CHSAUD	87	4	1175 336 6 885 70 416 920 419 965 1034
606	MAGILLHVID	143	2	345 817 1014 852 667 160 963 873 763 1038
611	SHA410	212	5	299 90 559 685 586 180 863 756 1138 577
687	MARSHAUD	318	1	744 683 23 1084 1011 361 1174 69 985
121	CHSAUD	242	4	1064 20 129 252 251 501 633 874 647 724 47
188	CHSAUD	257	4	292 528 1085 932 707 189 889 319 505 281 474
26	IRADEAREID	168	3	197 273 495 517 1125 885 414 1104 876 229 723
267	MARSHAUD	137	1	716 951 326 76 1042 121 782 1037 724
